"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"MRCR","Moro Corp","Domestic","5.55%","13.57","Industrials","Construction & Engineering","Construction & Engineering","$9M (Micro)"
"MOV","Movado Group Inc","Domestic","17.99%","6.80","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$675M (Micro)"
"MRC","MRC Global Inc","Domestic","3.86%","39.02","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$990M (Micro)"
"MWA","Mueller Water Products Inc","Domestic","6.00%","24.19","Industrials","Machinery","Industrial Machinery","$2B (Micro)"
"MPLN","Multiplan Corp","Domestic","1.27%","9.15","Health Care","Health Care Technology","Health Care Technology","$933M (Micro)"
"MVO","MV Oil Trust","Domestic","281.66%","6.95","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$152M (Micro)"
"MYE","Myers Industries Inc","Domestic","14.18%","15.21","Materials","Containers & Packaging","Metal & Glass Containers","$821M (Micro)"
"MYRG","MYR Group Inc","Domestic","11.75%","20.51","Industrials","Construction & Engineering","Construction & Engineering","$2B (Micro)"
"NABL","N-Able Inc","Domestic","1.19%","177.01","Information Technology","Software","Systems Software","$2B (Micro)"
"NC","NACCO Industries Inc","Domestic","14.15%","5.07","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$346M (Micro)"
"NSSC","NAPCO Security Technologies Inc","Domestic","15.39%","51.94","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$944M (Micro)"
"NATH","Nathan's Famous Inc","Domestic","20.50%","15.04","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$260M (Micro)"
"NESR","National Energy Services Reunited Corp","Domestic","2.77%","16.08","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$603M (Micro)"
"NHC","National Healthcare Corp","Domestic","2.72%","30.08","Health Care","Health Care Providers & Services","Health Care Facilities","$953M (Micro)"
"NPK","National Presto Industries Inc","Domestic","6.04%","22.99","Industrials","Aerospace & Defense","Aerospace & Defense","$499M (Micro)"
"NRC","National Research Corp","Domestic","32.99%","26.75","Health Care","Health Care Providers & Services","Health Care Services","$909M (Micro)"
"NAII","Natural Alternatives International Inc","Domestic","7.26%","5.35","Consumer Staples","Personal Products","Personal Products","$46M (Micro)"
"NGVC","Natural Grocers By Vitamin Cottage Inc","Domestic","4.08%","11.16","Consumer Staples","Food & Staples Retailing","Food Retail","$237M (Micro)"
"NRP","Natural Resource Partners LP","Domestic","31.78%","2.97","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$538M (Micro)"
"NATR","Natures Sunshine Products Inc","Domestic","7.62%","16.60","Consumer Staples","Personal Products","Personal Products","$171M (Micro)"
"NTST","Netstreit Corp","Domestic","0.64%","121.95","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$1B (Micro)"
"GBR","New Concept Energy Inc","Domestic","2.66%","56.89","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$7M (Micro)"
"NLCP","Newlake Capital Partners Inc","Domestic","4.65%","18.92","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$360M (Micro)"
"NMRK","Newmark Group Inc","Domestic","11.07%","7.15","Real Estate","Real Estate Management & Development","Real Estate Services","$1B (Micro)"
"NXDT","NexPoint Diversified Real Estate Trust","Domestic","21.66%","2.38","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$502M (Micro)"
"NXRT","NexPoint Residential Trust Inc","Domestic","1.23%","53.34","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$1B (Micro)"
"NXGN","NextGen Healthcare Inc","Domestic","4.40%","67.82","Health Care","Health Care Technology","Health Care Technology","$1B (Micro)"
"NL","NL Industries Inc","Domestic","10.89%","6.70","Industrials","Commercial Services & Supplies","Office Services & Supplies","$368M (Micro)"
"NOBH","Nobility Homes Inc","Domestic","12.91%","13.77","Consumer Discretionary","Household Durables","Homebuilding","$81M (Micro)"
"NSYS","Nortech Systems Inc","Domestic","23.87%","4.39","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$39M (Micro)"
"NRT","North European Oil Royalty Trust","Domestic","5,529.99%","13.23","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$153M (Micro)"
"NTIC","Northern Technologies International Corp","Domestic","11.23%","20.52","Materials","Chemicals","Specialty Chemicals","$125M (Micro)"
"NWPX","Northwest Pipe Co","Domestic","6.17%","14.38","Industrials","Construction & Engineering","Construction & Engineering","$364M (Micro)"
"DNOW","NOW Inc","Domestic","14.06%","12.98","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$1B (Micro)"
